Unique_SMILES	Mol_ID
CCN1/C(=C\C=C\C=C\c2sc3c([n+]2CC)cccc3)/Sc2c1cccc2	DRTL_1
CCCCC[n+]1c(ccc2c1cccc2)/C=C\1/C=CN(c2c1cc(C)cc2)CC	DRTL_2
CN1C=C/C(=C/c2ccc3c([n+]2C)cccc3)/c2c1cccc2	DRTL_3
CCN1/C(=C/c2ccc3c([n+]2CC)cccc3)/C=Cc2c1sc1c2cccc1	DRTL_4
CCN1/C(=C/c2cccc[n+]2CC)/c2ccccc2-c2c1cccc2	DRTL_5
CCN1/C(=C/c2ccc3c([n+]2CC)cccc3)/C=Cc2c1cccc2	DRTL_6
CC[n+]1c(ccc2c1cc(C)cc2)/C=C/1\C=Cc2c(N1C)cc(cc2)C	DRTL_7
CCOc1ccc2c(c1)c(N)c1c([nH+]2)cc(cc1)N	DRTL_8
Brc1ccc(cc1)c1cc(nc2c1c1ccccc1cc2)c1ccc[n+](c1)C	DRTL_9
[O-]C1=CC(=O)C2=C(C(=O)C(OC2=C1)c1ccc(cc1O)O)O	DRTL_10
CN1C=C/C(=C/c2cc[n+](c3c2cccc3)C)/c2c1cccc2	DRTL_11
Cc1ccc2c(c1)c(=O)[nH]c1n2c(=S)sc1C(=O)Nc1ccc(cc1)c1ccccc1	DRTL_12
OCC[n+]1c2cc(ccc2nc2c1cccc2)N1CCN(CC1)c1cccc(c1)Cl	DRTL_13
CC[n+]1c(ccc2c1ccc(c2)C)/C=C\1/SC(=CN1C)c1ccc(cc1)C	DRTL_14
O=C(Nc1ccc(cc1)c1nc2c(s1)cc(cc2)C)CSc1nc2c(o1)cccc2	DRTL_15
Nc1nc(cc(n1)N1CCCC1)N1CCc2c(C1)sc(n2)N	DRTL_16
COc1ccc2c(c1)[nH]c(c2)c1[nH+]ccc(c1)N	DRTL_17
[O-][N+](=O)c1ccc2c(c1)nc([nH]2)CCCCc1nc2c([nH]1)ccc(c2)[N+](=O)[O-]	DRTL_18
Nc1ccc(cc1)c1[nH]c2c(n1)cc(cc2)C(=O)c1ccc2c(c1)nc([nH]2)c1ccc(cc1)N	DRTL_19
COc1cc(cc(c1OC)OC)c1nn2c(s1)nnc(c2=O)C	DRTL_20
Cn1c(=O)sc2c1ccc(c2)S(=O)(=O)N1CCN(CC1)c1ccccn1	DRTL_21
OCC[n+]1c(/C=C\2/Sc3c(N2C)ccc(c3)C)sc2c1cccc2	DRTL_22
[O-]C(=O)CN1C(=O)S/C(=C\c2ccc(cc2)O)/C1=O	DRTL_23
CCN1/C(=C\c2scc([n+]2C)c2ccc(cc2)C)/Sc2c1cccc2	DRTL_24
NC(=S)Nc1nc2ccccc2[nH]c1=O	DRTL_25
O=C(c1ccc2c(c1)n1nnc(c1[nH]c2=O)c1ccccc1)NCc1ccco1	DRTL_26
O=C(Nc1c([nH]c2c1cc(Cl)cc2)c1cccnc1)Nc1cccc(c1)C	DRTL_27
Fc1cccc(c1)NC(=O)c1n[nH]c(c1)c1ccc[nH]1	DRTL_28
CC[n+]1c(ccc2c1cccc2)/C=C/1\C=CN(c2c1ccc(c2)C)C	DRTL_29
Clc1ccc(cc1)CNC(=O)c1n[nH]c(c1)c1ccc[nH]1	DRTL_30
CC[n+]1c(ccc2c1ccc(c2)C)/C=C/1\SC=C(N1C)c1ccccc1	DRTL_31
Cl.CC1=NNC=2N=CC(=CC12)CNCC=3C=NN(C3)CC=4C=CC=CC4	Z1079452124
C=1C=CC(=CC1)C2=NC=3C=CC=CC3SC2C4=NC5=CC=CC=C5N4	Z56869371
NCC1=NC=2C=C(C=CC2O1)C=3C=CC4=C(C3)OCCCC4O	Z4409837624
NC(=O)C=1C=CC(=NN1)N2CC(O)CC2C=3C=CC(F)=C(F)C3	Z1527077598
COCC(NC(=O)C=1C=CC=C(C1)C2=CNC3=NC(=O)N(C)C3=C2)C4=CC=CO4	Z1723428219
O=C(O)C(F)(F)F.CC1=NC=2C(=CC=NC2N1)C(=O)NCC3=CN=C4CCCCN34	Z9102689951
CC1CCC(CN1CC2=NC3=C(F)C=CC=C3N2)C(N)=O	Z1176361170
CC1=CN2C=C(C=C(F)C2=N1)C=3C=CN=C(C3)OCCN(C)C	Z4453179218
CCOC(=O)C1=C2CN(CCC2=NN1C)C(=O)C3=CNN=C3C4=CC=CC(F)=C4	Z4491691171
CC1CCCN2C=C(N=C12)C3=NC(=NN3C4=NN=CN4)C5CN(C)CCO5	Z4510605245
CC1=NC=2C=C(C=CC2C(=O)N1C)C=3C=CC=C(C3)CC(C)N	Z4520437583
CC(F)(F)C=1C=NC=C(C1)CN2C=C(N=N2)C=3N=COC3CN	Z4582211892
NCC=1C=NC=C(C1)C(=O)NC=2C=CC(Cl)=C(C2)C(=O)NCC3=CC=CC=C3F	Z4622602217
COC=1C=CC(=CN1)C=2C=C3C=CC=NC3=CC2F	Z4662119524
CC=1SC(=O)N(CC(=O)N(C)C=2C=CC(=CC2)CN)C1C=3C=CC=CC3	Z4668468162
O=C(O)C(F)(F)F.CC(C)C1=NN(C)C=2SC(=CC12)C(=O)NC(C)C(N)C=3C=CC=CC3	Z4872563998
CCCCC=1N=C(C=2C=C(C=CN2)N3CCC(O)CC3)N(CCC=4C=CN=CC4)N1	Z4873985055
NCCC=1C=CC(=CC1)OCC(=O)NC=2C=CC(=CC2)N3N=NC=4C=CC=CC43	Z4879347018
ClC=1C=CC=2C(=NN=CC2C1)N3CCC=4N=NC=CC4C3	Z4923875947
COC=1C=NC=C(C1)C=2C=C(C)C3=NN(C)C=C3C2	Z4931450544
CC1=NOC(=N1)C(C)N2CCN3N=C(C=C3C2)C(=O)O	Z5014476144
CN1C=C(NC(=O)C=2N=COC2C3=CC=CS3)C(=N1)C=4C=NC=CN4	Z5032999961
O=C1NCC=2C(=CC=CC12)NCC=3C=CC=C4N=C(SC34)C(F)F	Z5084437385
O=C(O)C(F)(F)F.CC=1N=CN(C1C)C=2C=CC(=CC2)NC(=O)C=3C=CN=C(C3)CN	Z5123852947
CN1C=C(C2=CN(CC3=NC=CS3)N=N2)C(=N1)C(F)(F)F	Z5103211737
O=C(NC=1C=C2OCCOC2=CC1NC(=O)C3=CN=CC4=CN=CC=C34)C5=CC=CS5	Z5164733733
CN(C(=O)C=1SN=C2C=CC(Br)=CC12)C=3C=NNC3	Z5177344405
CCC=1N=C(SC1C(=O)O)C2=CC=C3OCCC3=C2C	Z5179542473
CC1=CN2C=C(C=C(F)C2=N1)C=3C=NN(C)C(=O)C3	Z5228603770
NC1=NOC=2C=C(C=CC12)C=3C=CC=C(C3)OCCN4C=CN=C4	Z5282817172
O=C(O)C(F)(F)F.CCC(C)N1N=CC(NC2=NC=C(C(=O)O)N3N=CC=C23)=C1C	Z8665858376
NC1CCC=2C=C(C=CC21)C=3C=CC=4C=CC(O)=CC4C3	Z5405036789
CCC1=CNC=2N=CC(=CC12)C=3C=CC(=CC3C)CCN	Z5428536177
COC=1C=CN=C(N1)NC=2C=CC(=CC2)C(=O)NC3=CC=CC(=C3)C4CCCC(=O)N4	Z5510590122
O=C1CC(CO)CN1C=2C=CC(=CC2)C=3C=NN4C=CC=NC34	Z5592363053
O=C(O)CC=1N=C(C=2C=CC=3CCOC3C2)N4CCCCC14	Z5604436824
OC(C1=CC=NS1)C=2C=CC(=CC2)C=3C=CN=C4NC=CC34	Z5626180205
CCC1=CNC=2N=CC(=CC12)C3=CN(C)C=C(C(=O)O)C3=O	Z5865375760
CN1CCN(CCOC=2C=CC=CC2NC(=O)C3COC=4C=CC5=CC=CC=C5C4C3)CC1	Z5992825962
CC=1C=CC=C2C(=CC=NC12)NCCN3CCN(C)CC3C=4C=CC=CC4	Z5993546027
COC=1C=CC=C2C(=NC=CC12)NC3CC4C=5C=CC=CC5CCC34	Z6037202495
CC1=CC(Cl)=CC=2C(=CC(C)=NC12)NC(CO)C=3C=CC=C(O)C3	Z6037205933
CC=1C=NN(C1)C=2C=CC=C(C2)C=3C=CN=C(C3)NC=4C=CC=CN4	Z6047178543
C=1C=NN(C1)C=2C=CC(=CC2)C3=CC=NC4=NC=NN34	Z6289986103
CC1=CC(C)=C(C)C=C1CN2N=C(CCCO)N=C2C=3C=CC4=CN=CN4C3C	Z6326640012
CN1CC(O)CC1(C)C(=O)NC=2C=CC(=CC2)C3=CNC(=O)N3	Z6344242385
NCC=1C=CC2=C(C1)CCC2NC=3C=CC=4C=C(F)C=C(C4N3)[N+]([O-])=O	Z6400110416
CC1CN(CC=2C(Cl)=CC=CC21)C=3N=CN=C4NC(=CC34)C(=O)O	Z6412889782
NCC=1N=CC(=CN1)NC(=O)C=2C=CN=C(C2)OC=3C=CC=CC3	Z6476377934
CCN(CC1=NC=2C=CC=CC2C(=O)N1)C=3C=CC(=CN3)C(=O)O	Z6482272659
O=C(O)C(O)C=1C=CC=C(C1)C=2C=CN3N=CC=C3C2	Z6619364577
O=C(O)C1=CC(=CS1)C2=CN=C3OCCOC3=C2	Z6619913019
CN1N=NC=2C=CC(=CC21)C=3C=CC=C(C3)C(=O)O	Z6629731778
O=C(O)C(F)(F)F.O=C(O)C1=CNC=2C=CC(=CC12)C3=CC=CN4C=NC=C34	Z8753997851
O=C(O)C=1C=CN=C(N1)C=2C=CN=C(F)C2	Z6726526539
NS(=O)(=O)C=1C=C(C=CC1O)C=2C=CC=3SC(=CC3C2)C(=O)O	Z6739435659
O=C(O)C=1C=CC2=NC(=NN2C1)C3=CC=C4OCCNC(=O)C4=C3	Z6739477829
CC1CCC2=NC=C(C(=O)NC=3C=CC=4NC(=CC4C3)C(=O)O)N2C1	Z6739572836
CC1=C(C=NN1C=2C=CC(=CC2)C=3C=CC(C#N)=CC3CO)C(=O)O	Z6739799339
N[C@H](CO)CC1=CN(C=N1)CC=2C=CN=C(N2)C=3C=CC(F)=CC3	Z6739804073
CN1C(=CC=2C=C(C=NC21)C=3C=C(F)C(C(N)=O)=C(F)C3)C(=O)O	Z6739902789
CC1=NN(C)C=2N=CC(=CC12)C3=NOC(=N3)C4=CC(=NN4)C(C)(C)N	Z6741330395
CN1N=CC=2N=CC(=CC21)C=3C=CC(=CC3)C4=NC=CS4	Z7060030167
CN1N=CC=2N=CC(=CC21)C=3C=CC(=CC3)C4=NN=C(CO)O4	Z7060030174
COC=1N=CC=C2C(=CNC12)C=3C=NC=4C=NN(C)C4C3	Z7060030744
CN1N=CC=2N=CC(=CC21)C=3C=CC(F)=C(C3)C(O)C(F)(F)F	Z7060031068
O=C(O)C(F)(F)F.NCC12CCC(C1)CN(CC3=COC(=N3)C=4C=CC(F)=C(C4)C(F)(F)F)C2	Z7644989550
O=C(O)C(F)(F)F.CC(NCC=1C=CC(=CC1)C=2C=CC3=CC=CC=C3C2)C=4C=NC=CC4N	Z7670458355
O=C(O)C(F)(F)F.CN1C=CN=C1CC(N)C(=O)NCC=2C=CC(=CC2)C=3C=CC=4C=CC=CC4C3	Z7551600974
N#CC=1C=CN=C(C1)C2=CN(N=N2)C=3C=CC=4N=CNC4C3	Z7144565689
C=1C=CC(=NC1)C=2C=CC=C(C2)C3=NC=4C=NC=NC4N3	Z7144719300
CN1CCCCC1CNS(=O)(=O)C=2C=CC=C(N2)NCC3CCCC=4C=CC=NC43	Z7151847582
O=C(O)C(F)(F)F.CC(NC1=NC(=CC2=NC=CN12)C(=O)O)C=3C=CSC3	Z8482816190
C1=NNC2=CC=CC(NCC=3C=CN=C(N3)C4CC5=CC=CC=C5O4)=C12	Z7159518594
CCCN1C(=NC=2C=CC(F)=CC21)C3=NNC=4C=C(C=CC34)C(=O)O	Z7371505206
CC1=NN(C(=O)C=2C=CC=CC12)C=3C=CC(=CC3F)C(=O)O	Z7569750686
NCC1CC1NC(=O)C=2C=C(C=CC2O)C=3C=CC=C(C3)C(F)(F)F	Z7572889504
CCN1N=C(C)C=2N=C(NC(=O)C21)C=3C=NC=4C=CSC4C3	Z7669312494
COC(=O)C=1C=CC=C2C(=CNC12)C3=NC4=CN(C)N=C4C(=O)N3	Z7683888222
O=C(O)C(F)(F)F.CC(C)(C)C=1C=C(N=CN1)NCC2=CC=3C=C(C=NC3O2)C(=O)O	Z8288902179
CC=1N=CC=C(OCC=2C=NN(N2)C3CCCCO3)C1C	Z8030751445
COC=1C=CC=2C=C(C=CC2N1)C(=O)NC(C)C3=CC=4C=NC=CC4N3	Z8098075452
CNC(=O)C=1C=C(C=CC1F)NC(=O)C=2C=CC=C(C2)C3=CC=CC(=C3)CN	Z8153471773
NCC=1C=CN2N=CC(C(=O)NC=3C=CC4=C(C3)CC=5C=CC=CC54)=C2C1	Z8155148166
CC(=O)N1CCC2=CC(=CC=C21)C3=CN(C)C=C(C(=O)O)C3=O	Z8289481446
CNC(=O)C=1C=C(C=CN1)C2=C(C)N=C3C=CC=CN23	Z8393369732
NCC(O)C=1C=CC(=CC1)C=2C=C3CC(=O)NC3=CC2Cl	Z8464874977
CC=1C=CC(=CC1NC(=O)C(N)C2CCC=3C=CC=CC32)C4=NN=C5CCCCCN45	Z8485185258
CN1N=C(C=C1C2=NOC(=N2)C=3C=CC4=NC(=CN4C3)CN)C(F)(F)F	Z8546757495
O=C1NCCC=2C=C(SC12)C3=CNC=4N=CC=CC34	Z8757573338
CC(C)(C)C1=CC(CNC=2C=C(Br)C3=NC=NN3C2)=NN1	Z8760385741
CC=1C=CN=CC1CCNC2=NC=3N=CC(Br)=CC3O2	Z8761294734
NCCCN1C=C(C=N1)NC(=O)C=2C=CN=C3C=CC(F)=CC23	Z8773146712
NCCC=1C=CC(O)=C(C1)NC(=O)C2=CSC3=CN=CN23	Z8773146585
O=C(O)C1=CSC(=C1)C=2C=CC(Cl)=CC2	Z1341409749
O=C(O)C1=CSC(=N1)C2=NC=CC=C2Cl	Z1557450931
CC1=CC=C(O1)C2=CC=NC(=C2)C(=O)O	Z1813183453
O=C(O)C=1C=CC2=C(C1)CC=3C=CC=CC32	Z380963652
Cl.O=C(O)C=1C=CC(=CC1)NC=2C=CN=CC2	Z1259339973
CC1=C(C=NN1C2=CC=CC=C2Cl)C(=O)O	Z415742500
O=C(O)C1=CC=C(NC1=O)C=2C=CC=CC2	Z234485062
CC1=NN(N=C1C(=O)O)C=2C=CC(F)=CC2	Z57983112
CC=1C=CC(=C(C)C1)N2N=C(CC2=O)C(=O)O	Z815290396
O=C(O)C1=NN(C=CC1=O)C2=CC=CC=C2F	Z1182497151
OC=1C=CC(=CC1)C=2C=CC=3N=CC=CC3C2	Z1575342921
CCCCN1N=C(C)C(C=2C=C(NN2)C(=O)O)=C1C	Z419911936
CC=1OC(=CC1C(=O)O)CN(C)CC2=CC(Br)=CS2	Z827171842
NCC1CCCN(C1)C=2C=CN=C3C=C(Cl)C=CC23	Z871852994
COC=1C=CC=CC1N2C=NC=3C=C(C=CC32)C(=O)O	Z431983626
CC1=NN(C(C)=C1C(=O)O)C2=CC=CC(=N2)C(F)(F)F	Z858036098
CC(C)CC1=NC(CN2CCN3C(=NN=C3C2)C4CC4)=NO1	Z1142752681
O=C(CSC1=NC2=C(C=NN2C=3C=CC=CC3)C(=O)N1)N4CCC=5C=CC=CC54	Z15383660
CC=1C(=O)C=2C=CC=C(C(=O)NC=3C=CC(=NC3)N(C)C)C2OC1C=4C=CC=CC4	Z227277002
O=C(NC=1C=CC=CC1NC(=O)C=2C=NC=3C=CC=CC3N2)C=4C=CC(Cl)=CC4	Z395752578
CC=1OC(=NC1CN(C)C(C)C2=CC=3C=CC=CC3O2)C4=CC=CS4	Z297796932
COC=1C=CC(=CC1OC)N(C)C(=O)CC2=NOC3=CC=CC=C23	Z846657160
CN(C)CC(CNC(=O)NC=1C=CC=CC1)C(O)C=2C=CC=CC2	Z381529794
CC=1C=CC=C(N1)NC(=O)C=2C=CC=C(C2)C(N)=O	Z332690546
NC(C(=O)NC=1C=CC(OC=2C=CC(F)=CC2)=C3C=CN=CC13)C4CCOCC4	Z2464879284
CC(SC1=NN=C(CN2CCCC2)N1CC=3C=CC=CC3)C4=NC=5C=CC=CC5C(=O)N4	Z17436133
O=C(NCC1=NN=C2C=CC=CN12)C3=CC=CC(=O)N3CCOC=4C=CC=CC4Cl	Z1505512148
CC(CN1C=CN=C1)NC(=O)NC=2C=CC(F)=C(C2)NC(=O)CC=3C=CC=CC3	Z595690706
O=C(NC=1C=CC=CC1C2=NC(=NN2)C=3C=CC=CC3)C=4C=CC(=CC4)N5CCCC5=O	Z599701006
CCN(CC)CCNC(=O)C=1C=C(C=CC1Cl)NC(=O)C2=CC=CC3=C2OC(C)C3C	Z1506441114
COC=1C=CC=CC1NC2=NC=3SC(=CC3S2)C(=O)NC(C)CC#N	Z1006372654
