RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CCN1/C(=C\C=C\C=C\c2sc3c([n+]2CC)cccc3)/Sc2c1cccc2	DRTL_1	CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21	1	DB11516
CCOc1ccc2c(c1)c(N)c1c([nH+]2)cc(cc1)N	DRTL_8	CCOc1ccc2nc3cc(N)ccc3c(N)c2c1	1	DB13190
CC=1N=C(SC1C(=O)O)C=2C=CC(OCC(C)C)=C(C#N)C2	Z1541759499	Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	1	DB04854
[O-][N+](=O)C=1C=CC=CC1C2=CC=C(O2)C(=O)O	Z57441700	O=C(O)c1ccc(-c2ccccc2[N+](=O)[O-])o1	1	DB07408
CC=1N=C2C=CC=CN2C(=O)C1CCN3CCC=4OC=5C=CC=CC5C4C3	Z2417820442	Cc1nc2ccccn2c(=O)c1CCN1CCc2oc3ccccc3c2C1	1	DB06553
CCC1=C[C@@H]2[C@@H](C[C@]2(CN)CC(=O)O)C1	Z1509045169	CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)CC(=O)O	1	DB11825
NCC(CC(=O)O)C=1C=CC(Cl)=CC1	Z1269146769	NC[C@H](CC(=O)O)c1ccc(Cl)cc1	1	DB00181
NC=1C=CN(C(=O)N1)[C@H]2CS[C@@H](CO)O2	Z754931268	Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1	1	DB00709
Cl.CC=1C=CC=C(C1)CC(N)C(=O)O	Z2470414651	Cc1cccc(C[C@H]([NH3+])C(=O)[O-])c1	1	DB02685
NCC=1C=CC(=CC1)C2=CC=CS2	Z756110816	NCc1ccc(-c2cccs2)cc1	1	DB07259
O=C(O)[C@H]1C[C@H](O)[C@H](O)CO1 |&1:3,5,7,r|	Z3664725069	O=C(O)[C@@H]1C[C@H](O)[C@@H](O)CO1	1	DB02227
Cl.NCC(O)C=1C=CC=C(C1)C(F)(F)F	Z1211228970	NC[C@H](O)c1cccc(C(F)(F)F)c1	1	DB08129
OC(CNC=1C=CC=CN1)C=2C=CC=CC2	Z31268347	O[C@@H](CNc1ccccn1)c1ccccc1	1	DB13414
NC(CC1=CNC2=NC=CC=C12)C(=O)O	Z1274773112	[NH3+][C@@H](Cc1c[nH]c2ncccc12)C(=O)[O-]	1	DB04206
C[C@](N)(CC=1C=CC(O)=CC1)C(=O)O	Z1255434943	C[C@](N)(Cc1ccc(O)cc1)C(=O)O	1	DB00765
O=C1NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O	Z2681890654	O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	1	DB04335
NC=1C=CN(C(=O)N1)[C@H]2CC[C@@H](CO)O2	Z1550648753	Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1	1	DB00943
NC(=O)NC1NC(=O)NC1=O	Z104486690	NC(=O)N[C@H]1NC(=O)NC1=O	1	DB11100
NCCC1=CNC2=CC=CC=C12	Z104478080	NCCc1c[nH]c2ccccc12	1	DB08653
NCCC(=O)N[C@H](CC1=CNC=N1)C(=O)O	Z1543388927	NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	1	DB11695
CC(=O)N1CCC[C@@H]1C(=O)O	Z1078490036	CC(=O)N1CCC[C@H]1C(=O)O	1	DB03360
Cl.Cl.CN1C=NC(=C1)C[C@H](N)C(=O)O	Z3005524545	Cn1cnc(C[C@H](N)C(=O)O)c1	1	DB04151
Cl.NCC(CC(=O)O)C=1C=CC=CC1	Z1741966111	NC[C@H](CC(=O)O)c1ccccc1	1	DB13455
NC(=O)N[C@@H](CC=1C=CC=CC1)C(=O)O	Z360054534	NC(=O)N[C@@H](Cc1ccccc1)C(=O)O	1	DB04058
N[C@H](CC1=CNC=N1)C(=O)O	Z1079168982	N[C@@H](Cc1cnc[nH]1)C(=O)O	1	DB00117
N[C@H](CC1CCCCC1)C(=O)O	Z995228686	[NH3+][C@@H](CC1CCCCC1)C(=O)[O-]	1	DB02884
Cl.Cl.NCC1=CC=C(O1)C=2C=CC=NC2	Z7470250332	NCc1ccc(-c2cccnc2)o1	1	DB07621
CC(=O)NC(CC=1C=CC(O)=CC1)C(=O)O	Z239130480	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	1	DB11102
NC1=NC2=C(N=CN2CCC(CO)CO)C(=O)N1	Z2025569265	Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1	1	DB00299
N[C@H](CC=1C=CC=CC1)C(=O)O	Z933646062	N[C@@H](Cc1ccccc1)C(=O)O	1	DB00120
NC(CC=1C=CC=C(O)C1)C(=O)O	Z317025828	[NH3+][C@@H](Cc1cccc(O)c1)C(=O)[O-]	1	DB03552
NC(CC1=CNC2=CC=CC=C12)C(=O)O	Z57248626	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	1	DB00150
C1=NC=2C(=NC=NC2N1)N3CCOCC3	Z57921676	c1nc(N2CCOCC2)c2[nH]cnc2n1	1	DB08780
NC1=NC(=O)C=2N=CN(COC(CO)CO)C2N1	Z594284200	Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1	1	DB01004
CC(=O)N1C[C@H](O)C[C@@H]1C(=O)O	Z1250093582	CC(=O)N1C[C@H](O)C[C@H]1C(=O)O	1	DB13363
Cl.CNCCNS(=O)(=O)C=1C=CC=C2C=NC=CC12	Z1491278660	CNCCNS(=O)(=O)c1cccc2cnccc12	1	DB07997
OCCN1CCN(CCCN2C=3C=CC=CC3SC=4C=CC(Cl)=CC42)CC1	Z1530532754	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	1	DB00850
CC(=O)C=1C=CC=2SC=3C=CC=CC3N(CCCN4CCC(CCO)CC4)C2C1	Z2065671295	CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2	1	DB06808
CC[C@](C(C=C1N2Cc3cc4ccccc4nc13)=C(CO1)C2=O)(C1=O)O	94600	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1	1	DB04690
C1C2CC3CC1CC(C2)(C3)N	NCGC00015036-08	N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2	1	DB00915
CC(COc1ccccc1)N(CC[Cl])Cc1ccccc1	NCGC00015121-16	C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1	1	DB00925
C[N+](C)(C)CC(O)=O	NCGC00015150-04	C[N+](C)(C)CC(=O)O	1	DB04455
CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)[Cl]	NCGC00015256-13	CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12	1	DB00608
CCOC(Nc1ccc(NCc2ccc(cc2)F)nc1N)=O	NCGC00015451-06	CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N	1	DB06623
C(CCNCCCN)CN	NCGC00015937-02	NCCCCNCCCN	1	DB03566
CCN1C=C(C(O)=O)C(c2cc(c(nc12)N1CCNCC1)F)=O	NCGC00016927-10	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21	1	DB00467
C1CC1N1C=C(C(O)=O)C(c2cc(c(cc12)N1CCNCC1)F)=O	NCGC00016959-07	O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O	1	DB00537
c1cc2C(c3cc(cc(c3C(c2c(c1)O)=O)O)C(O)=O)=O	NCGC00018199-06	O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O	1	DB13174
C(C(c1ccc(cc1[Cl])[Cl])OCc1ccc(cc1)[Cl])n1ccnc1	NCGC00018258-09	Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	1	DB01127
CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N1CCC[C@@H]1C(O)=O)=O)=O	NCGC00021569-08	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	1	DB00584
CS(=O)(=O)OCCCCOS(C)(=O)=O	NCGC00090905-11	CS(=O)(=O)OCCCCOS(C)(=O)=O	1	DB01008
C(C(Cn1cncn1)(c1ccc(cc1F)F)O)n1cncn1	NCGC00095089-11	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	1	DB00196
CC(C)(C)c1ccc(cc1)C(CC(c1ccc(cc1)OC)=O)=O	NCGC00095112-04	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	1	DB09495
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O	NCGC00095133-04	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O	1	DB00426
[H][C@@]12CC[C@@H]([C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@]12[H])=O)OC(CCc1ccccc1)=O	NCGC00159356-02	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1	1	DB00984
C1C(N=C2Nc3ccc(c(c3CN12)[Cl])[Cl])=O	NCGC00161408-02	O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1	1	DB00261
[H][C@]12C=C(C(C[C@@]13CCN(C)[C@]2([H])Cc1ccc(c(c13)O)OC)=O)OC	NCGC00161641-04	COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O	1	DB16892
CCOC(N1CCN(CC1)[N+](=NOc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)[O-])=O	NCGC00165815-05	CCOC(=O)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1	1	DB17257
CCCCN(CCCC)CC(c1cc(cc2C(=Cc3ccc(cc3)[Cl])c3cc(ccc3c12)[Cl])[Cl])O	NCGC00167490-02	CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1	1	DB06708
CCCCN(CCCC)CCC(c1cc2c(cc(cc2c2cc(ccc12)C(F)(F)F)[Cl])[Cl])O	NCGC00179250-04	CCCCN(CCCC)CC[C@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12	1	DB01218
C(C(O)=O)O.[N-].[N-].[Pt++]	NCGC00181152-01	O=C([O-])C[OH2+]	1	DB03085
CCN(CC)CCN1C(C(Cc2ccc(cc2)OC)=Nc2ccccc12)=O	NCGC00186046-02	CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21	1	DB13835
CC(=O)Oc1cc2CN(CCc2s1)C(C(C1CC1)=O)c1ccccc1F	NCGC00188690-02	CC(=O)Oc1cc2c(s1)CCN([C@@H](C(=O)C1CC1)c1ccccc1F)C2	1	DB06209
