RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
O=C(NC1=CC(NC(=O)NC2=C(C=CC(=C2)C(=O)NC2=CC=C(C=C2)C2=[NH+]CCN2)C(=O)NC2=CC=C(C=C2)C2=[NH+]CCN2)=CC=C1)NC1=C(C=CC(=C1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1	R-BIND_LM_0035	O=C(Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1cccc(c1)NC(=O)Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1	1	Compound 7
CC[NH+](CC)CCOC1=CC=C(NC2=NC(=NC3=CC=CC=C23)C2=C(NC(=O)CC[NH+]3CCN(C)CC3)C=CC=C2)C=C1	R-BIND_SM_0068	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	1	Compound 1 (2017)
O=C(NC1=CC=C(C=C1)C1=[NH+]CCN1)C1=CC(=CC(=C1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1)C(=O)NC1=CC=C(C=C1)C1=[NH+]CCN1	R-BIND_SM_0151	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	1	Compound 8
O=C(NC1=CC(=CC=C1)C1=[NH+]CCN1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1=CC=CC(=C1)C1=[NH+]CCN1	R-BIND_SM_0152	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	1	Compound 10
c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C 	Target_lig_225	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	1	Benzimidazole13ibis
CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N 	Target_lig_226	CN(C)CCCN1C2=C(C=CC(=C2)OCCCN(C)C)N=C1N	1	Benzimidazole3ibis
c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N 	Target_lig_501	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	1	benzamide derivative
C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(C[NH+](C)C)=CC3=C12 	Target_lig_688	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(C[NH+](C)C)=CC3=C12	1	IRAB
C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1 	Target_lig_689	C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1	1	Benzimidazole 10
C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12 	Target_lig_690	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	1	Benzimidazole 11 / Isis-11
